email;password
user1@tecsup.com;password123
user2@tecsup.com;password123
user3@tecsup.com;password123
user4@tecsup.com;password123
user5@tecsup.com;password123
user6@tecsup.com;password123
user7@tecsup.com;password123
user8@tecsup.com;password123
user9@tecsup.com;password123
user10@tecsup.com;password123
user11@tecsup.com;password123
user12@tecsup.com;password123
user13@tecsup.com;password123
user14@tecsup.com;password123
user15@tecsup.com;password123
user16@tecsup.com;password123
user17@tecsup.com;password123
user18@tecsup.com;password123
user19@tecsup.com;password123
user20@tecsup.com;password123
